"id","name","email","dob","is_active","joined_date","street","city","state","zipcode","country","phone","website","tags","job_title","department","company","location","phoneCount","nameInitials"
"1","Brittney Lyons","brittneylyons@singavera.com","2004-06-06","false","2020-08-08","Ford Street","Crisman","Minnesota","758","Cambodia","(839) 595-2833","Ortiz_Kidd.com","quis,qui,do,ut,ex,amet,voluptate","product owner","accounting","Aquacine","Crisman|Minnesota|Cambodia","1","BL"
"2","Sanchez Evans","sanchezevans@aquacine.com","1995-02-19","false","2021-02-22","Sedgwick Street","Corinne","Wyoming","725","France","(921) 491-2067","Lopez_Cobb.com","minim,enim,eu,ad,consequat,pariatur,aute","product owner","hr","Optique","Corinne|Wyoming|France","1","SE"
"3","Robyn Farley","robynfarley@optique.com","1971-03-14","true","2021-10-13","Fiske Place","Marne","Georgia","196","Croatia (Hrvatska)","(894) 486-3810","Hope_Mayo.com","incididunt,occaecat,Lorem,irure,proident,dolore,officia","software engineer","hr","Zanymax","Marne|Georgia|Croatia (Hrvatska)","1","RF"
"4","Atkins Burke","atkinsburke@zanymax.com","2012-10-24","true","2018-12-29","Thornton Street","Greer","Wisconsin","931","Saint Lucia","(942) 536-2450","Jeri_Ortega.com","ut,ad,Lorem,tempor,velit,velit,velit","software engineer","hr","Corepan","Greer|Wisconsin|Saint Lucia","1","AB"
"5","Camille Bowers","camillebowers@corepan.com","1983-12-06","true","2021-01-27","Dean Street","Kansas","Virgin Islands","661","Sweden","(891) 517-3057","Roxanne_Sims.com","excepteur,esse,duis,exercitation,do,magna,nulla","product owner","hr","Digique","Kansas|Virgin Islands|Sweden","1","CB"
"6","Carmen Hoffman","carmenhoffman@digique.com","2002-06-04","true","2014-01-11","Ashland Place","Gulf","Utah","438","Singapore","(860) 537-3237","Grant_Barrera.com","non,duis,cupidatat,aliqua,tempor,irure,do","data engineer","IT","Ersum","Gulf|Utah|Singapore","1","CH"
"7","Eddie Crosby","eddiecrosby@ersum.com","2007-08-10","true","2017-01-03","Wakeman Place","Albany","Mississippi","409","Egypt","(935) 524-3107","Salas_Simmons.com","aliqua,amet,aute,laborum,proident,dolor,non","HR recruiter","IT","Xylar","Albany|Mississippi|Egypt","1","EC"
"8","Marina Madden","marinamadden@xylar.com","1943-08-21","false","2014-09-06","Danforth Street","Bridgetown","California","996","Somalia","(850) 444-3161","Vaughn_Ferrell.com","reprehenderit,id,commodo,voluptate,qui,sit,eiusmod","product owner","hr","Circum","Bridgetown|California|Somalia","1","MM"
"9","Oneil Waller","oneilwaller@circum.com","1964-05-19","false","2023-05-08","Visitation Place","Verdi","New Hampshire","167","Lebanon","(847) 461-2460","Lavonne_Stanley.com","fugiat,pariatur,ullamco,irure,veniam,amet,laborum","HR recruiter","hr","Jimbies","Verdi|New Hampshire|Lebanon","1","OW"
"10","Lauren Gallegos","laurengallegos@jimbies.com","1997-11-08","false","2015-11-29","Throop Avenue","Thynedale","Tennessee","735","Latvia","(964) 523-2877","Carey_Mathis.com","adipisicing,incididunt,irure,officia,non,veniam,nisi","product owner","IT","Egypto","Thynedale|Tennessee|Latvia","1","LG"
